group_id,club_name,brand,discount_pct,magento_rule,rule_id,nb_clients,catalog_effective_pct,catalog_name
7,Raquette Club Briec,Butterfly,10.0,Remises club 10% - Butterfly,4226,6,10.0,Butterfly — Club 10%
7,Raquette Club Briec,Dandoy,20.0,Remises club 20% - Dandoy,4048,6,20.0,Dandoy — Club 20%
8,Royal Mickey Falisolle,Dandoy,15.0,Remises club 15% - Dandoy,3983,76,15.0,Dandoy — Club 15%
10,Sofiane Boukoula,Butterfly,15.0,Remises club 15% - Butterfly,4049,1,15.0,Butterfly — Club 15%
10,Sofiane Boukoula,Nominatif,30.0,Sofiane Boukoula,5695,1,30.0,"Dandoy — Compte nominatif (cas particulier, hors catalog standard)"
11,TTV Hasselt United,Butterfly,15.0,Remises club 15% - Butterfly,4049,2,15.0,Butterfly — Club 15%
11,TTV Hasselt United,Dandoy,15.0,Remises club 15% - Dandoy,3983,2,15.0,Dandoy — Club 15%
12,CP Montois,Butterfly,15.0,Remises club 15% - Butterfly,4049,215,15.0,Butterfly — Club 15%
12,CP Montois,Dandoy,20.0,Remises club 20% - Dandoy,4048,215,20.0,Dandoy — Club 20%
13,TTC Deinze,Butterfly,15.0,Remises club 15% - Butterfly,4049,4,15.0,Butterfly — Club 15%
13,TTC Deinze,Dandoy,15.0,Remises club 15% - Dandoy,3983,4,15.0,Dandoy — Club 15%
14,TT Progress,Butterfly,15.0,Remises club 15% - Butterfly,4049,414,15.0,Butterfly — Club 15%
14,TT Progress,Dandoy,15.0,Remises club 15% - Dandoy,3983,414,15.0,Dandoy — Club 15%
16,TT Dorlisheim,Butterfly,15.0,Remises club 15% - Butterfly,4049,2,15.0,Butterfly — Club 15%
16,TT Dorlisheim,Dandoy,15.0,Remises club 15% - Dandoy,3983,2,15.0,Dandoy — Club 15%
17,TTC Hamme,Butterfly,15.0,Remises club 15% - Butterfly,4049,272,15.0,Butterfly — Club 15%
17,TTC Hamme,Dandoy,15.0,Remises club 15% - Dandoy,3983,272,15.0,Dandoy — Club 15%
18,Esperance Ledomienne,Butterfly,15.0,Remises club 15% - Butterfly,4049,130,15.0,Butterfly — Club 15%
18,Esperance Ledomienne,Dandoy,20.0,Remises club 20% - Dandoy,4048,130,20.0,Dandoy — Club 20%
19,Estaines La Gorgue Merville,Butterfly,15.0,Remises club 15% - Butterfly,4049,2,15.0,Butterfly — Club 15%
19,Estaines La Gorgue Merville,Dandoy,20.0,Remises club 20% - Dandoy,4048,2,20.0,Dandoy — Club 20%
20,SAINT DIDIER CHATEAUBOURG TT,Butterfly,15.0,Remises club 15% - Butterfly,4049,100,24.9,Butterfly — Club Premium
20,SAINT DIDIER CHATEAUBOURG TT,Butterfly,7.0,Remises club 7% - Butterfly,7970,100,24.9,Butterfly — Club Premium
20,SAINT DIDIER CHATEAUBOURG TT,Butterfly,5.0,Remises club 5% - Butterfly,7969,100,24.9,Butterfly — Club Premium
20,SAINT DIDIER CHATEAUBOURG TT,Dandoy,20.0,Remises club 20% - Dandoy,4048,100,20.0,Dandoy — Club 20%
21,TT Brenne Le Blanc,Dandoy,20.0,Remises club 20% - Dandoy,4048,1,20.0,Dandoy — Club 20%
22,VARCES VIF Tennis De Table,Butterfly,15.0,Remises club 15% - Butterfly,4049,51,15.0,Butterfly — Club 15%
22,VARCES VIF Tennis De Table,Dandoy,20.0,Remises club 20% - Dandoy,4048,51,20.0,Dandoy — Club 20%
23,CTT Buire,Butterfly,15.0,Remises club 15% - Butterfly,4049,4,15.0,Butterfly — Club 15%
23,CTT Buire,Dandoy,20.0,Remises club 20% - Dandoy,4048,4,20.0,Dandoy — Club 20%
24,Club Pongiste Yvetotais,Dandoy,20.0,Remises club 20% - Dandoy,4048,144,20.0,Dandoy — Club 20%
25,AS VILLEREST TT,Dandoy,20.0,Remises club 20% - Dandoy,4048,96,20.0,Dandoy — Club 20%
26,TT Monestier de Clermont,Dandoy,20.0,Remises club 20% - Dandoy,4048,1,20.0,Dandoy — Club 20%
27,Piranha Tennis de Table,Butterfly,10.0,Remises club 10% - Butterfly,4226,156,10.0,Butterfly — Club 10%
27,Piranha Tennis de Table,Dandoy,15.0,Remises club 15% - Dandoy,3983,156,15.0,Dandoy — Club 15%
28,PPC TAGNON,Butterfly,15.0,Remises club 15% - Butterfly,4049,5,15.0,Butterfly — Club 15%
28,PPC TAGNON,Dandoy,20.0,Remises club 20% - Dandoy,4048,5,20.0,Dandoy — Club 20%
29,TT JOUE LES TOURS,Dandoy,20.0,Remises club 20% - Dandoy,4048,9,20.0,Dandoy — Club 20%
29,TT JOUE LES TOURS,STIGA (addition),6.25,Remise club 5% addition STIGA,5331,9,6.25,"Dandoy — STIGA addition (cas particulier, hors catalog standard)"
30,AL NERAC TENNIS DE TABLE,Dandoy,20.0,Remises club 20% - Dandoy,4048,1,20.0,Dandoy — Club 20%
31,LA RAQUETTE CHAUMONTOISE,Butterfly,15.0,Remises club 15% - Butterfly,4049,2,15.0,Butterfly — Club 15%
31,LA RAQUETTE CHAUMONTOISE,Dandoy,20.0,Remises club 20% - Dandoy,4048,2,20.0,Dandoy — Club 20%
32,Effekt‘74,Butterfly,10.0,Remises club 10% - Butterfly,4226,36,10.0,Butterfly — Club 10%
32,Effekt‘74,Dandoy,15.0,Remises club 15% - Dandoy,3983,36,15.0,Dandoy — Club 15%
33,HTC Hoofddorp,Butterfly,10.0,Remises club 10% - Butterfly,4226,32,10.0,Butterfly — Club 10%
33,HTC Hoofddorp,Dandoy,15.0,Remises club 15% - Dandoy,3983,32,15.0,Dandoy — Club 15%
34,Vivier au court,Butterfly,15.0,Remises club 15% - Butterfly,4049,3,15.0,Butterfly — Club 15%
34,Vivier au court,Dandoy,20.0,Remises club 20% - Dandoy,4048,3,20.0,Dandoy — Club 20%
35,Tafeltennis Zwolle,Butterfly,10.0,Remises club 10% - Butterfly,4226,68,10.0,Butterfly — Club 10%
35,Tafeltennis Zwolle,Dandoy,15.0,Remises club 15% - Dandoy,3983,68,15.0,Dandoy — Club 15%
36,EBS - Etoile Basse Sambre,Butterfly,10.0,Remises club 10% - Butterfly,4226,2,10.0,Butterfly — Club 10%
36,EBS - Etoile Basse Sambre,Dandoy,15.0,Remises club 15% - Dandoy,3983,2,15.0,Dandoy — Club 15%
37,The Victory Weesp,Butterfly,10.0,Remises club 10% - Butterfly,4226,22,10.0,Butterfly — Club 10%
37,The Victory Weesp,Dandoy,15.0,Remises club 15% - Dandoy,3983,22,15.0,Dandoy — Club 15%
38,TTV Avanti,Butterfly,10.0,Remises club 10% - Butterfly,4226,2,10.0,Butterfly — Club 10%
38,TTV Avanti,Dandoy,15.0,Remises club 15% - Dandoy,3983,2,15.0,Dandoy — Club 15%
39,Tielse TC,Butterfly,10.0,Remises club 10% - Butterfly,4226,10,10.0,Butterfly — Club 10%
39,Tielse TC,Dandoy,15.0,Remises club 15% - Dandoy,3983,10,15.0,Dandoy — Club 15%
40,TTV Kwiek,Butterfly,10.0,Remises club 10% - Butterfly,4226,10,10.0,Butterfly — Club 10%
40,TTV Kwiek,Dandoy,15.0,Remises club 15% - Dandoy,3983,10,15.0,Dandoy — Club 15%
41,ONI Wijchen,Butterfly,10.0,Remises club 10% - Butterfly,4226,14,10.0,Butterfly — Club 10%
41,ONI Wijchen,Dandoy,15.0,Remises club 15% - Dandoy,3983,14,15.0,Dandoy — Club 15%
42,TTV Never Despair,Butterfly,10.0,Remises club 10% - Butterfly,4226,10,10.0,Butterfly — Club 10%
42,TTV Never Despair,Dandoy,15.0,Remises club 15% - Dandoy,3983,10,15.0,Dandoy — Club 15%
43,PPC ST Mihiel,Butterfly,15.0,Remises club 15% - Butterfly,4049,117,15.0,Butterfly — Club 15%
43,PPC ST Mihiel,Dandoy,20.0,Remises club 20% - Dandoy,4048,117,20.0,Dandoy — Club 20%
44,Treffers Arnhem,Butterfly,10.0,Remises club 10% - Butterfly,4226,29,10.0,Butterfly — Club 10%
44,Treffers Arnhem,Dandoy,15.0,Remises club 15% - Dandoy,3983,29,15.0,Dandoy — Club 15%
45,TT BEAUVAL,Butterfly,15.0,Remises club 15% - Butterfly,4049,2,15.0,Butterfly — Club 15%
45,TT BEAUVAL,Dandoy,20.0,Remises club 20% - Dandoy,4048,2,20.0,Dandoy — Club 20%
46,APB OUTREAU,Butterfly,15.0,Remises club 15% - Butterfly,4049,165,15.0,Butterfly — Club 15%
46,APB OUTREAU,Dandoy,20.0,Remises club 20% - Dandoy,4048,165,20.0,Dandoy — Club 20%
47,TT MERLIMONT,Butterfly,15.0,Remises club 15% - Butterfly,4049,26,15.0,Butterfly — Club 15%
47,TT MERLIMONT,Dandoy,20.0,Remises club 20% - Dandoy,4048,26,20.0,Dandoy — Club 20%
48,TT SAILLY SUR LA LYS,Butterfly,15.0,Remises club 15% - Butterfly,4049,3,15.0,Butterfly — Club 15%
48,TT SAILLY SUR LA LYS,Dandoy,20.0,Remises club 20% - Dandoy,4048,3,20.0,Dandoy — Club 20%
49,CTT Perwez,Butterfly,15.0,Remises club 15% - Butterfly,4049,202,15.0,Butterfly — Club 15%
49,CTT Perwez,Dandoy,15.0,Remises club 15% - Dandoy,3983,202,15.0,Dandoy — Club 15%
50,CAJ-MIR Saint-Ghislain,Butterfly,15.0,Remises club 15% - Butterfly,4049,23,15.0,Butterfly — Club 15%
50,CAJ-MIR Saint-Ghislain,Dandoy,15.0,Remises club 15% - Dandoy,3983,23,15.0,Dandoy — Club 15%
51,KTTC Metor Bree,Butterfly,15.0,Remises club 15% - Butterfly,4049,2,15.0,Butterfly — Club 15%
51,KTTC Metor Bree,Dandoy,15.0,Remises club 15% - Dandoy,3983,2,15.0,Dandoy — Club 15%
52,TT BARR,Butterfly,15.0,Remises club 15% - Butterfly,4049,23,15.0,Butterfly — Club 15%
52,TT BARR,Dandoy,20.0,Remises club 20% - Dandoy,4048,23,20.0,Dandoy — Club 20%
53,UTL Rossfeld,Butterfly,15.0,Remises club 15% - Butterfly,4049,150,15.0,Butterfly — Club 15%
53,UTL Rossfeld,Dandoy,20.0,Remises club 20% - Dandoy,4048,150,20.0,Dandoy — Club 20%
54,CTT ALPA,Butterfly,15.0,Remises club 15% - Butterfly,4049,262,15.0,Butterfly — Club 15%
54,CTT ALPA,Dandoy,15.0,Remises club 15% - Dandoy,3983,262,15.0,Dandoy — Club 15%
55,Amicale Lunévilloise TT,Butterfly,15.0,Remises club 15% - Butterfly,4049,45,15.0,Butterfly — Club 15%
55,Amicale Lunévilloise TT,Dandoy,20.0,Remises club 20% - Dandoy,4048,45,20.0,Dandoy — Club 20%
56,PPC MONTCY,Butterfly,15.0,Remises club 15% - Butterfly,4049,114,15.0,Butterfly — Club 15%
56,PPC MONTCY,Dandoy,20.0,Remises club 20% - Dandoy,4048,114,20.0,Dandoy — Club 20%
57,CORCY TT,Dandoy,20.0,Remises club 20% - Dandoy,4048,22,20.0,Dandoy — Club 20%
58,TT HUNINGUE,Butterfly,15.0,Remises club 15% - Butterfly,4049,66,15.0,Butterfly — Club 15%
58,TT HUNINGUE,Dandoy,20.0,Remises club 20% - Dandoy,4048,66,20.0,Dandoy — Club 20%
59,ASTT GLAIRE,Butterfly,15.0,Remises club 15% - Butterfly,4049,42,15.0,Butterfly — Club 15%
59,ASTT GLAIRE,Dandoy,20.0,Remises club 20% - Dandoy,4048,42,20.0,Dandoy — Club 20%
60,CTT Nouzonville,Butterfly,15.0,Remises club 15% - Butterfly,4049,3,15.0,Butterfly — Club 15%
60,CTT Nouzonville,Dandoy,20.0,Remises club 20% - Dandoy,4048,3,20.0,Dandoy — Club 20%
61,David Levalois,Butterfly,15.0,Remises club 15% - Butterfly,4049,1,15.0,Butterfly — Club 15%
