Command,Handle
DELETE,blades
DELETE,rubbers
DELETE,clothing
DELETE,shoes
DELETE,luggages
DELETE,balls
DELETE,tables-nets
DELETE,rackets
DELETE,robots
DELETE,accessories
DELETE,cleaners-glue
DELETE,clubs
DELETE,padel
DELETE,pickleball
DELETE,promo-special
DELETE,liquidations-football
DELETE,polos
DELETE,shorts
DELETE,t-shirts
DELETE,jackets
DELETE,socks
DELETE,suits
DELETE,sweater
DELETE,bags
DELETE,batcover
DELETE,tables
DELETE,nets
DELETE,cleaners
DELETE,glue
DELETE,colours-rubbers
DELETE,robots-machines
DELETE,robots-accessories
DELETE,accessories-rackets
DELETE,accessories-textiles
DELETE,football-maillot
DELETE,football-short
DELETE,football-bas
