Command,Handle
DELETE,stiga-allround-classic
DELETE,stiga-allround-classic-wrb
DELETE,stiga-allround-classic-carbon
DELETE,stiga-allround-cr-wrb
DELETE,stiga-allround-evolution
DELETE,stiga-energy-wood-wrb
DELETE,stiga-offensive-classic
DELETE,stiga-offensive-classic-wrb
DELETE,stiga-offensive-classic-carbon
DELETE,stiga-offensive-cr-wrb
DELETE,stiga-clipper
DELETE,stiga-clipper-wrb
DELETE,stiga-clipper-cr-wrb
DELETE,stiga-clipper-cc
DELETE,stiga-carbo-7-6-wrb
DELETE,stiga-senso-7-6
DELETE,stiga-defensive-wood-nct
DELETE,stiga-optimum-sync
DELETE,stiga-optimum-plus
DELETE,stiga-infinity-vps-v
DELETE,stiga-titanium-5-4
DELETE,stiga-airoc-m
DELETE,stiga-airoc-s
DELETE,stiga-boost-tc
DELETE,stiga-titanium-5-4-wrb-flared
DELETE,stiga-titanium-5-4-wrb-straight
DELETE,stiga-titanium-5-4-wrb-master
DELETE,stiga-titanium-5-4-wrb-penholder
DELETE,stiga-allround-wood-nct
DELETE,stiga-offensive-wood-nct
DELETE,stiga-hybrid-wood-nct
DELETE,stiga-intensity-nct
DELETE,stiga-intensity-nct-carbon
DELETE,stiga-ebenholz-nct-v
DELETE,stiga-ebenholz-nct-vii
DELETE,stiga-rosewood-xo
DELETE,stiga-boost-ts
DELETE,stiga-boost-tx
DELETE,stiga-boost-tp
DELETE,stiga-calibra-lt
DELETE,stiga-calibra-lt-sound
DELETE,stiga-calibra-lt-spin
DELETE,stiga-calibra-lt-plus
DELETE,stiga-cc5
DELETE,stiga-cc7
DELETE,stiga-rosewood-nct-v
DELETE,stiga-rosewood-nct-vii
DELETE,stiga-emerald-vps-v
DELETE,stiga-carbonado-145
DELETE,stiga-carbonado-190
DELETE,stiga-jms-evo-1
DELETE,stiga-destroyer
DELETE,stiga-energy-absorber
DELETE,stiga-china-extreme
DELETE,stiga-chop-drive
DELETE,stiga-carbo-mc
DELETE,stiga-mendo
DELETE,stiga-mendo-energy
DELETE,stiga-radical
DELETE,stiga-innova
DELETE,stiga-innova-ultra-light
DELETE,stiga-innova-premium
DELETE,stiga-neos
DELETE,stiga-power-lt
DELETE,stiga-cobra-2000
DELETE,stiga-neos-sound
DELETE,stiga-neos-tacky
DELETE,stiga-carbo
DELETE,stiga-carbo-sound
DELETE,stiga-royal
DELETE,stiga-almana
DELETE,stiga-almana-sound
DELETE,stiga-magna-tc-ii
DELETE,stiga-magna-ts-ii
DELETE,stiga-magna-tx-ii
DELETE,stiga-calibra-tour-s
DELETE,stiga-calibra-tour-m
DELETE,stiga-calibra-tour-h
DELETE,stiga-allround-cr
DELETE,stiga-offensive-cr
DELETE,stiga-clipper-cr
DELETE,stiga-airoc-astro-m
DELETE,donic-waldner-off-world-champion-89
DELETE,donic-bluefire-m1-turbo
DELETE,donic-bluefire-m1
DELETE,donic-bluefire-m2
DELETE,donic-bluefire-m3
DELETE,donic-bluefire-jp01-turbo
DELETE,donic-bluefire-jp01
DELETE,donic-bluefire-jp02
DELETE,donic-bluefire-jp03
DELETE,donic-acuda-s1-turbo
DELETE,donic-acuda-s1
DELETE,donic-acuda-s2
DELETE,donic-acuda-s3
DELETE,donic-coppa-x1-turbo-platin
DELETE,donic-coppa-x1-gold
DELETE,donic-coppa-x2-platin-soft
DELETE,donic-coppa-x3-silver
DELETE,donic-baracuda
DELETE,donic-baracuda-big-slam
DELETE,donic-desto-f1
DELETE,donic-desto-f2
DELETE,donic-desto-f3
DELETE,donic-desto-f3-big-slam
DELETE,donic-sonex-jp-gold
DELETE,donic-traction-ii
DELETE,donic-quattro-formula
DELETE,donic-quattro
DELETE,donic-vario-big-slam
DELETE,donic-vario
DELETE,donic-vario-soft
DELETE,donic-coppa
DELETE,donic-coppa-tagora
DELETE,donic-coppa-tenero
DELETE,donic-quattro-a-conda-medium
DELETE,donic-quattro-a-conda-soft
DELETE,donic-akkadi-taichi
DELETE,donic-liga-plus
DELETE,donic-liga
DELETE,donic-slice-40
DELETE,donic-twingo
DELETE,donic-twingo-plus
DELETE,donic-baxter-f1-a
DELETE,donic-baxter-lb
DELETE,donic-piranja-formula-tec
DELETE,donic-alligator-def
DELETE,donic-alligator-anti
DELETE,donic-akkadi-l2
DELETE,donic-twister-lb
DELETE,donic-anti-classic
DELETE,joola-mambo
DELETE,joola-mambo-h
DELETE,joola-samba
DELETE,joola-samba-plus
DELETE,joola-rhyzm
DELETE,joola-rhyzm-375
DELETE,joola-rhyzm-425
DELETE,joola-maxxx-400
DELETE,joola-maxxx-450
DELETE,donic-spike-p1
DELETE,joola-maxxx-500
DELETE,donic-spike-2
DELETE,joola-energy
DELETE,joola-energy-x-tra
DELETE,joola-energy-325
DELETE,donic-ovtcharov-original-senso-carbon
DELETE,joola-x-plode
DELETE,joola-x-plode-sensitive
DELETE,joola-shark
DELETE,joola-orca
DELETE,joola-antitop-toni-hold
DELETE,joola-k5
DELETE,joola-k6
DELETE,joola-k7
DELETE,joola-spirit-off
DELETE,joola-rosskopf-allround
DELETE,joola-rosskopf-fire
DELETE,joola-rosskopf-emotion
DELETE,joola-chen-defender
DELETE,joola-chen-weixing
DELETE,donic-ovtcharov-senso-v2
DELETE,donic-ovtcharov-senso-v1
DELETE,donic-burn-off
DELETE,donic-burn-all
DELETE,joola-toni-hold-white-spot
DELETE,joola-wing-medium
DELETE,neubauer-hercules
DELETE,dr-neubauer-phenomenon
DELETE,dr-neubauer-matador
DELETE,dr-neubauer-world-champion
DELETE,dr-neubauer-bulldog
DELETE,donic-epox-control
DELETE,donic-epox-powerallround
DELETE,dr-neubauer-kung-fu
DELETE,donic-epox-offensiv
DELETE,dr-neubauer-barricade-def
DELETE,dr-neubauer-firewall-plus
DELETE,donic-epox-topspeed
DELETE,donic-ovtcharov-carbospeed
DELETE,dr-neubauer-high-technology-plus
DELETE,donic-waldner-legend-carbon
DELETE,donic-baum-esprit
DELETE,donic-persson-seven
DELETE,dr-neubauer-titan
DELETE,dr-neubauer-special
DELETE,dr-neubauer-combination-effect
DELETE,dr-neubauer-a-b-s
DELETE,dr-neubauer-anti-special
DELETE,dr-neubauer-gorilla
DELETE,dr-neubauer-grizzly
DELETE,dr-neubauer-allround-premium
DELETE,dr-neubauer-boomerang-classic
DELETE,dr-neubauer-desperado
DELETE,diamant
DELETE,dr-neubauer-fighter
DELETE,dr-neubauer-inferno-classic
DELETE,dr-neubauer-monster-classic
DELETE,dr-neubauer-number-1
DELETE,donic-blue-feeling
DELETE,donic-waldner-diablo-senso
DELETE,donic-waldner-senso-carbon
DELETE,donic-waldner-senso-ultra-carbon
DELETE,donic-ovtcharov-dotec-off-left-handed
DELETE,donic-waldner-dotec-ar
DELETE,donic-persson-dotec-off
DELETE,donic-waldner-dotec-carbon
DELETE,donic-appelgren-dotec-control
DELETE,donic-wang-xi-dotec-control-plus
DELETE,donic-persson-power-carbon
DELETE,dr-neubauer-domination
DELETE,dr-neubauer-domination-speed
