Handle,Command,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Variant Image,Gift Card,SEO Title,SEO Description,Status,Metafield: custom.promotion [list.single_line_text_field],Metafield: custom.blade_category [single_line_text_field],Metafield: custom.blade_layers [single_line_text_field],Metafield: custom.blade_feeling [single_line_text_field],Metafield: custom.rubber_category [single_line_text_field],Metafield: custom.pimples [single_line_text_field],Metafield: custom.hardness [single_line_text_field],Metafield: custom.technology [list.single_line_text_field],Metafield: custom.gender [list.single_line_text_field],Metafield: custom.shoe_type [list.single_line_text_field],Metafield: custom.bag_model [single_line_text_field],Metafield: custom.ball_usage [single_line_text_field],Metafield: custom.ball_material [single_line_text_field],Metafield: custom.usage [single_line_text_field],Metafield: custom.accessory_type [single_line_text_field],Metafield: custom.environment [list.single_line_text_field],Metafield: custom.cover_included [boolean],Metafield: custom.dimension [single_line_text_field],Metafield: custom.video_url [url],Metafield: custom.available_options [list.single_line_text_field]
challenger-attack,MERGE,Butterfly Challenger Attack,"Voor de snelle aanval Zachte en zeer dunne toplaag. Voor de gecontroleerde en op spin georiënteerde offensieve speler.<br>
<br>
Duitse verdediger specialiste Irene Ivancan over CHALLENGER ATTACK:<br>
CHALLENGER ATTACK past perfect bij mijn spel. De korte noppen met een zachtere sponge zorgen ervoor dat ik veel backspin kan geven wat het moeilijk maakt voor mijn tegenstander om de bal te retourneren.",BUTTERFLY,,Rubbers,"Rubbers,butterfly",TRUE,Color,Red,Thickness,1.5,,,21174,,shopify,2,continue,manual,34.900000,,TRUE,TRUE,,https://www.dandoy-sports.com/pub/media/catalog/product/b/u/butterfly_belaege_challenger_attack_b.jpg,1,,,FALSE,Butterfly Challenger Attack,,active,,,,,OFF,Short pimple,Soft,,,,,,,,,,,,,Gluing;EdgeTape
challenger-attack,,,,,,,,,Color,Red,Thickness,1.7,,,21175,,shopify,3,continue,manual,34.900000,,TRUE,TRUE,,https://www.dandoy-sports.com/pub/media/catalog/product/c/h/challenger_2.png,2,,,,,,,,,,,,,,,,,,,,,,,,,,
challenger-attack,,,,,,,,,Color,Red,Thickness,1.9,,,21176,,shopify,0,continue,manual,34.900000,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenger-attack,,,,,,,,,Color,Red,Thickness,2.1,,,21177,,shopify,8,continue,manual,34.900000,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenger-attack,,,,,,,,,Color,Black,Thickness,1.5,,,21178,,shopify,3,continue,manual,34.900000,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenger-attack,,,,,,,,,Color,Black,Thickness,1.7,,,21179,,shopify,4,continue,manual,34.900000,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenger-attack,,,,,,,,,Color,Black,Thickness,1.9,,,21180,,shopify,2,continue,manual,34.900000,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
challenger-attack,,,,,,,,,Color,Black,Thickness,2.1,,,21181,,shopify,6,continue,manual,34.900000,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-andrei-grubba-all,MERGE,Butterfly Andrzej Grubba ALL+,"Een klassiek all-round frame<br>
Al vele jaren een bestseller van Butterfly: Het Andrzej Grubba ALL + frame geeft veel controle en de perfecte feedback helpt de allround speler in elke situatie.  5-laags<br>
",BUTTERFLY,,Blades,"Blades,butterfly",TRUE,Handle,Anatomic,,,,,1074,,shopify,8,continue,manual,39.900000,,TRUE,TRUE,,https://www.dandoy-sports.com/pub/media/catalog/product/b/u/butterfly_holz_a_grubba_all_fl.jpg,1,,,FALSE,Butterfly Andrzej Grubba ALL+,,active,,ALL+,5,soft,,,,,,,,,,,,,,,,Lacquering
butterfly-andrei-grubba-all,,,,,,,,,Handle,Flared,,,,,1075,,shopify,12,continue,manual,39.900000,,TRUE,TRUE,,https://www.dandoy-sports.com/pub/media/catalog/product/a/_/a._grubba_2.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-andrei-grubba-all,,,,,,,,,Handle,Straight,,,,,1076,,shopify,6,continue,manual,39.900000,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-defence-pro-recht,MERGE,Butterfly Defence Pro Recht,"• Opvolger van de Matsushita Pro<br>
• Kortere grip maakt het mogelijk zeer variabel vast te<br>
 houden<br>
• Zeer gecontroleerd en nauwkeurig<br>
• 5 lagen<br>
",BUTTERFLY,,Blades,"Blades,butterfly",FALSE,Title,Default Title,,,,,BTYG7046,,shopify,5,continue,manual,51.900000,79.900000,TRUE,TRUE,,https://www.dandoy-sports.com/pub/media/catalog/product/d/e/defence_pro.jpg,1,,,FALSE,Butterfly Defence Pro Recht,,draft,,DEF,5,medium,,,,,,,,,,,,,,,,Lacquering
butterfly-jas-kuma-grijs,MERGE,Butterfly Jas Kuma Grijs,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">Trainingspak Kuma heeft een dynamisch design en onderstreept de sportieve ambities. Bruikbare details als de hoog te sluiten Hoodie rits of gebreidde col en boorden en de lange ritsen in de broek, maken de perfecte combinatie voor elke sporter die op zoek is naar hoge kwaliteit kleding. Jack en Broek van KUMA kunnen apart van elkaar gekocht worden. Materiaal: Dimple Dry Fit Elasticated (100% polyesther) Kleuren: Navy en antraciet. <br>
</div>",BUTTERFLY,,Clothing,"Clothing,Suits,suits,dandoy,butterfly",FALSE,Size,XXS,,,,,BTY13425,,shopify,0,deny,manual,36.950000,49.950000,TRUE,TRUE,,https://www.dandoy-sports.com/pub/media/catalog/product/b/u/butterfly_suit_jacket_kuma_anthracite.png,1,,,FALSE,Butterfly Jas Kuma Grijs,,draft,Liquidation,,,,,,,Breathable;Skin Friendly;Wicking and Quickdry,,,,,,,,,,,,
butterfly-jas-kuma-grijs,,,,,,,,,Size,140,,,,,22597,,shopify,0,deny,manual,19.900000,49.950000,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-jas-kuma-grijs,,,,,,,,,Size,152,,,,,22598,,shopify,0,deny,manual,19.900000,49.950000,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-jas-kuma-grijs,,,,,,,,,Size,XS,,,,,BTY13428,,shopify,0,deny,manual,39.950000,54.950000,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-jas-kuma-grijs,,,,,,,,,Size,S,,,,,BTY13429,,shopify,0,deny,manual,39.950000,54.950000,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-jas-kuma-grijs,,,,,,,,,Size,M,,,,,BTY13430,,shopify,0,deny,manual,39.950000,54.950000,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-jas-kuma-grijs,,,,,,,,,Size,L,,,,,BTY13431,,shopify,0,deny,manual,39.950000,54.950000,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-jas-kuma-grijs,,,,,,,,,Size,XL,,,,,BTY13432,,shopify,0,deny,manual,39.950000,54.950000,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-jas-kuma-grijs,,,,,,,,,Size,XXL,,,,,BTY13433,,shopify,0,deny,manual,39.950000,54.950000,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-jas-kuma-grijs,,,,,,,,,Size,3XL,,,,,BTY13434,,shopify,0,deny,manual,39.950000,54.950000,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-jas-kuma-grijs,,,,,,,,,Size,4XL,,,,,BTY13435,,shopify,0,deny,manual,39.950000,54.950000,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly-table-europa-25,MERGE,Butterfly Tafle Europa II,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">25+ OPPERVLAK – VOLLEDIG GEMONTEERD – EENVOUDIG TE TRANSPORTEREN<br>
<br>
De EUROPA 25 mm tafel is in de afgelopen 20 jaar gebruikt voor vele internationale toernooien over de hele wereld met inbegrip van de Europese Kampioenschappen. De EUROPA 25 is stevig en robuust. Het is de meest geschikte tafel voor clubs waar de tafels in een permanente positie staan of waar de beschikbare opslagruimte zeer beperkt is. Bovendien is het ook de beste tafel voor competities waarbij spullen van de ene locatie naar de andere dienen te worden verplaatst. Het belangrijkste voordeel van de EUROPA is de 25+ bovenkant. Dit ingrediënt dat toegevoegd is aan het oppervlak verhoogt de consistentie en betrouwbaarheid van de stuitering van de bal voor zowel topspin en backspin slagen, wat voor uitstekende speelbaarheid zorgt. Het vermindert slip en geeft de spelers alle vertrouwen om hun slagen te doen. De bovenkant wordt beschermd door een sterke stalen frame met hoekstukken van magenta. Deze tafel neemt indien hij ingeklapt wordt, de minimale opslagruimte in beslag –slechts 6 of 15 cm breed. Iedere helft heeft twee wielen in het midden, zodat de tafel weggerold kan worden. De Butterfly EUROPA 25 wordt volledig gemonteerd geleverd, is goedgekeurd door de Internationale Tafeltennis Federatie, heeft een Europees Veiligheidscertificaat(EN 14468-1) en heeft een garantie van 5 jaar.<br>
<br>
Opslag: Breedte: 1525 mm, Hoogte 1390 mm, Diepte 150 mm<br>
Gewicht niet geseald: 99 kg<br>
<br>
Tafel word gemonteerd geleverd (zonder netpost)<br>
Inclusief vrachtkosten</div>",BUTTERFLY,,Tables and Nets,"Tables,Tables & Nets,tables,butterfly",FALSE,Color,Grijs,,,,,BTY10020,118000,shopify,-3,continue,manual,995.000000,,TRUE,TRUE,,https://www.dandoy-sports.com/pub/media/catalog/product/t/a/table_europa_ii_02_kopie.jpg,1,,,FALSE,Butterfly Tafle Europa II,,draft,,,,,,,,,,,,,,Pro,,Indoor,false,1525mmx1392mm,,
butterfly-table-europa-25,,,,,,,,,Color,Blauw,,,,,19106,118000,shopify,0,continue,manual,995.000000,,TRUE,TRUE,,https://www.dandoy-sports.com/pub/media/catalog/product/t/a/table_europa_ii_04_kopie.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,,,
